IDENTIFIER	SMILES	time	dupl
Phosphatidylethanolamine_16:0-20:1	InChI=1S/C41H80NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h28,30,39H,3-27,29,31-38,42H2,1-2H3,(H,45,46)/b30-28-	2037.6	yes
Phosphatidylcholine_lyso_18:0	InChI=1S/C26H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h25,28H,5-24H2,1-4H3	230.4	yes
Phosphatidylcholine_lyso_15:0	InChI=1S/C23H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)31-22(20-25)21-30-32(27,28)29-19-18-24(2,3)4/h22,25H,5-21H2,1-4H3	130.8	yes
Phosphatidylcholine_alkyl_16:0-20:4	InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h16,18,22-23,25,27,31,33,43H,6-15,17,19-21,24,26,28-30,32,34-42H2,1-5H3/b18-16-,23-22-,27-25-,33-31-	1377.6	yes
Phosphatidylcholine_20:0-18:2	InChI=1S/C46H88NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-26-28-30-32-34-36-38-45(48)52-42-44(43-54-56(50,51)53-41-40-47(3,4)5)55-46(49)39-37-35-33-31-29-27-24-21-19-17-15-13-11-9-7-2/h27,29,33,35,44H,6-26,28,30-32,34,36-43H2,1-5H3/b29-27-,35-33-	2174.4	yes
Phosphatidylethanolamine_16:0-20:3	InChI=1S/C41H76NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h18-19,22,24,28,30,39H,3-17,20-21,23,25-27,29,31-38,42H2,1-2H3,(H,45,46)/b19-18-,24-22-,30-28-	1337.4	yes
Phosphatidylcholine_alkenyl_16:0-16:0	InChI=1S/C40H80NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-35-45-37-39(38-47-49(43,44)46-36-34-41(3,4)5)48-40(42)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h32,35,39H,6-31,33-34,36-38H2,1-5H3/b35-32+	1853.4	yes
Phosphatidylcholine_alkyl_16:0-22:6	InChI=1S/C46H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-29-31-33-35-37-39-46(48)54-45(44-53-55(49,50)52-42-40-47(3,4)5)43-51-41-38-36-34-32-30-28-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,27,29,33,35,45H,6-7,9,11-13,15,17-19,21,23,26,28,30-32,34,36-44H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,29-27-,35-33-	1269.0	yes
Phosphatidylcholine_alkyl_16:0-16:0	InChI=1S/C40H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-35-45-37-39(38-47-49(43,44)46-36-34-41(3,4)5)48-40(42)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h39H,6-38H2,1-5H3	1981.2	yes
Phosphatidylcholine_lyso_17:0	InChI=1S/C25H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)33-24(22-27)23-32-34(29,30)31-21-20-26(2,3)4/h24,27H,5-23H2,1-4H3	169.8	yes
Phosphatidylcholine_lyso_16:0	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)32-23(21-26)22-31-33(28,29)30-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3	154.8	yes
Phosphatidylcholine_alkyl_16:0-22:5	InChI=1S/C46H84NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-29-31-33-35-37-39-46(48)54-45(44-53-55(49,50)52-42-40-47(3,4)5)43-51-41-38-36-34-32-30-28-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,27,29,33,35,45H,6-13,15,17-19,21,23,26,28,30-32,34,36-44H2,1-5H3/b16-14-,22-20-,25-24-,29-27-,35-33-	1401.6	yes
Phosphatidylcholine_20:1-22:6	InChI=1S/C50H86NO8P/c1-6-8-10-12-14-16-18-20-22-24-25-27-29-31-33-35-37-39-41-43-50(53)59-48(47-58-60(54,55)57-45-44-51(3,4)5)46-56-49(52)42-40-38-36-34-32-30-28-26-23-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,25,27,31,33,36-39,48H,6-7,9,11-13,15,17-19,21,23-24,26,28-30,32,34-35,40-47H2,1-5H3/b10-8-,16-14-,22-20-,27-25-,33-31-,38-36-,39-37-	1314.0	yes
Phosphatidylcholine_lyso_18:2	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h14-15,17-18,25,28H,5-13,16,19-24H2,1-4H3/b15-14-,18-17-	113.4	yes
Phosphatidylcholine_lyso_19:0	InChI=1S/C27H56NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-27(30)35-26(24-29)25-34-36(31,32)33-23-22-28(2,3)4/h26,29H,5-25H2,1-4H3	282.6	yes
Phosphatidylcholine_lyso_18:3	InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h11-12,14-15,17-18,25,28H,5-10,13,16,19-24H2,1-4H3/b12-11-,15-14-,18-17-	104.4	yes
Phosphatidylcholine_lyso_20:2	InChI=1S/C28H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h16-17,19-20,27,30H,5-15,18,21-26H2,1-4H3/b17-16-,20-19-	147.0	yes
Phosphatidylcholine_lyso_18:1	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h17-18,25,28H,5-16,19-24H2,1-4H3/b18-17-	138.6	yes
Phosphatidylcholine_lyso_20:3	InChI=1S/C28H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h13-14,16-17,19-20,27,30H,5-12,15,18,21-26H2,1-4H3/b14-13-,17-16-,20-19-	123.0	yes
Phosphatidylcholine_lyso_20:1	InChI=1S/C28H56NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h19-20,27,30H,5-18,21-26H2,1-4H3/b20-19-	211.8	yes
Phosphatidylcholine_lyso_20:5	InChI=1S/C28H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h7-8,10-11,13-14,16-17,19-20,27,30H,5-6,9,12,15,18,21-26H2,1-4H3/b8-7-,11-10-,14-13-,17-16-,20-19-	98.4	yes
Phosphatidylcholine_lyso_20:0	InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3	363.6	yes
Phosphatidylcholine_alkyl_16:0-18:2	InChI=1S/C42H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-42(44)50-41(40-49-51(45,46)48-38-36-43(3,4)5)39-47-37-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h23,25,29,31,41H,6-22,24,26-28,30,32-40H2,1-5H3/b25-23-,31-29-	1492.8	yes
Phosphatidylethanolamine_16:0-20:5	InChI=1S/C41H72NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h7,9,13,15,18-19,22,24,28,30,39H,3-6,8,10-12,14,16-17,20-21,23,25-27,29,31-38,42H2,1-2H3,(H,45,46)/b9-7-,15-13-,19-18-,24-22-,30-28-	908.4	yes
Phosphatidylcholine_lyso_22:0	InChI=1S/C30H62NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-30(33)38-29(27-32)28-37-39(34,35)36-26-25-31(2,3)4/h29,32H,5-28H2,1-4H3	638.4	yes
Phosphatidylcholine_lyso_22:6	InChI=1S/C30H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-30(33)38-29(27-32)28-37-39(34,35)36-26-25-31(2,3)4/h6-7,9-10,12-13,15-16,18-19,21-22,29,32H,5,8,11,14,17,20,23-28H2,1-4H3/b7-6-,10-9-,13-12-,16-15-,19-18-,22-21-	106.2	yes
Phosphatidylcholine_lyso_20:4	InChI=1S/C28H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h10-11,13-14,16-17,19-20,27,30H,5-9,12,15,18,21-26H2,1-4H3/b11-10-,14-13-,17-16-,20-19-	109.8	yes
Phosphatidylserine_16:0-20:4	InChI=1S/C42H74NO10P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(45)53-38(36-51-54(48,49)52-37-39(43)42(46)47)35-50-40(44)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h13,15,18-19,22,24,28,30,38-39H,3-12,14,16-17,20-21,23,25-27,29,31-37,43H2,1-2H3,(H,46,47)(H,48,49)/b15-13-,19-18-,24-22-,30-28-	1171.2	yes
Phosphatidylethanolamine_16:0-22:6	InChI=1S/C43H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,24,26,30,32,41H,3-4,6,8-10,12,14-16,19,22-23,25,27-29,31,33-40,44H2,1-2H3,(H,47,48)/b7-5-,13-11-,18-17-,21-20-,26-24-,32-30-	1050.0	yes
Phosphatidylethanolamine_16:0-22:4	InChI=1S/C43H78NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h17-18,20-21,24,26,30,32,41H,3-16,19,22-23,25,27-29,31,33-40,44H2,1-2H3,(H,47,48)/b18-17-,21-20-,26-24-,32-30-	1425.0	yes
Phosphatidylinositol_17:0-20:4	InChI=1S/C46H81O13P/c1-3-5-7-9-11-13-15-17-19-20-21-23-25-27-29-31-33-35-40(48)58-38(37-57-60(54,55)59-46-44(52)42(50)41(49)43(51)45(46)53)36-56-39(47)34-32-30-28-26-24-22-18-16-14-12-10-8-6-4-2/h13,15,19-20,23,25,29,31,38,41-46,49-53H,3-12,14,16-18,21-22,24,26-28,30,32-37H2,1-2H3,(H,54,55)/b15-13-,20-19-,25-23-,31-29-/t38?,41-,42-,43+,44-,45-,46-/m1/s1	1006.8	yes
Phosphatidylinositol_16:0-22:6	InChI=1S/C47H79O13P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,24,26,30,32,39,42-47,50-54H,3-4,6,8-10,12,14-16,19,22-23,25,27-29,31,33-38H2,1-2H3,(H,55,56)/b7-5-,13-11-,18-17-,21-20-,26-24-,32-30-/t39?,42-,43-,44+,45-,46-,47-/m1/s1	761.4	yes
Phosphatidylethanolamine_16:0-18:2	InChI=1S/C39H74NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h20,22,26,28,37H,3-19,21,23-25,27,29-36,40H2,1-2H3,(H,43,44)/b22-20-,28-26-	1239.6	yes
Phosphatidylinositol_18:0-20:5	InChI=1S/C47H81O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h7,9,13,15,19-20,24,26,30,32,39,42-47,50-54H,3-6,8,10-12,14,16-18,21-23,25,27-29,31,33-38H2,1-2H3,(H,55,56)/b9-7-,15-13-,20-19-,26-24-,32-30-/t39?,42-,43-,44+,45-,46-,47-/m1/s1	988.2	yes
Phosphatidylinositol_18:0-20:3	InChI=1S/C47H85O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h19-20,24,26,30,32,39,42-47,50-54H,3-18,21-23,25,27-29,31,33-38H2,1-2H3,(H,55,56)/b20-19-,26-24-,32-30-/t39?,42-,43-,44+,45-,46-,47-/m1/s1	1405.8	yes
Phosphatidylserine_18:0-20:4	InChI=1S/C44H78NO10P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-43(47)55-40(38-53-56(50,51)54-39-41(45)44(48)49)37-52-42(46)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h13,15,19-20,24,26,30,32,40-41H,3-12,14,16-18,21-23,25,27-29,31,33-39,45H2,1-2H3,(H,48,49)(H,50,51)/b15-13-,20-19-,26-24-,32-30-	1413.6	yes
Phosphatidylcholine_16:0-20:3	InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h21-22,25,27,31,33,42H,6-20,23-24,26,28-30,32,34-41H2,1-5H3/b22-21-,27-25-,33-31-	1282.8	yes
Phosphatidylinositol_18:1-22:6	InChI=1S/C49H81O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,31-34,41,44-49,52-56H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-30,35-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,28-26-,33-31-,34-32-/t41?,44-,45-,46+,47-,48-,49-/m1/s1	713.4	yes
Phosphatidylcholine_16:0-22:6	InChI=1S/C46H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,27,29,33,35,44H,6-7,9,11-13,15,17-19,22,25-26,28,30-32,34,36-43H2,1-5H3/b10-8-,16-14-,21-20-,24-23-,29-27-,35-33-	984.0	yes
Phosphatidylinositol_alkyl_16:1-22:6	InChI=1S/C47H79O12P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-24-26-28-30-32-34-36-41(48)58-40(38-56-37-35-33-31-29-27-25-18-16-14-12-10-8-6-4-2)39-57-60(54,55)59-47-45(52)43(50)42(49)44(51)46(47)53/h5,7,11,13,17,19,21-22,24,26,29-32,40,42-47,49-53H,3-4,6,8-10,12,14-16,18,20,23,25,27-28,33-39H2,1-2H3,(H,54,55)/b7-5-,13-11-,19-17-,22-21-,26-24-,31-29-,32-30-/t40?,42-,43-,44+,45-,46-,47-/m1/s1	311.4	yes
Phosphatidylinositol_lyso_16:0	InChI=1S/C25H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(27)36-18(16-26)17-35-38(33,34)37-25-23(31)21(29)20(28)22(30)24(25)32/h18,20-26,28-32H,2-17H2,1H3,(H,33,34)/t18?,20-,21-,22+,23-,24-,25-/m1/s1	129.0	yes
Phosphatidylcholine_16:0-22:5	InChI=1S/C46H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h14,16,20-21,23-24,27,29,33,35,44H,6-13,15,17-19,22,25-26,28,30-32,34,36-43H2,1-5H3/b16-14-,21-20-,24-23-,29-27-,35-33-	1108.2	yes
Phosphatidylcholine_16:1-18:1	InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h28-31,40H,6-27,32-39H2,1-5H3/b30-28-,31-29-	1060.2	yes
Phosphatidylcholine_16:1-20:5	InChI=1S/C44H76NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h10,12,16,18,21-22,25,27,30-33,42H,6-9,11,13-15,17,19-20,23-24,26,28-29,34-41H2,1-5H3/b12-10-,18-16-,22-21-,27-25-,32-30-,33-31-	549.6	yes
Phosphatidylethanolamine_15:0-20:4	InChI=1S/C40H72NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-23-25-27-29-31-33-40(43)49-38(37-48-50(44,45)47-35-34-41)36-46-39(42)32-30-28-26-24-22-16-14-12-10-8-6-4-2/h13,15,18-19,21,23,27,29,38H,3-12,14,16-17,20,22,24-26,28,30-37,41H2,1-2H3,(H,44,45)/b15-13-,19-18-,23-21-,29-27-	947.4	yes
Phosphatidylethanolamine_16:1-18:2	InChI=1S/C39H72NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h20,22,25-28,37H,3-19,21,23-24,29-36,40H2,1-2H3,(H,43,44)/b22-20-,27-25-,28-26-	853.2	yes
Phosphatidylcholine_19:1-18:2	InChI=1S/C45H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-25-27-29-31-33-35-37-44(47)51-41-43(42-53-55(49,50)52-40-39-46(3,4)5)54-45(48)38-36-34-32-30-28-26-23-21-19-17-15-13-11-9-7-2/h26,28,31-34,43H,6-25,27,29-30,35-42H2,1-5H3/b28-26-,33-31-,34-32-	1390.8	yes
Phosphatidylethanolamine_17:0-20:3	InChI=1S/C42H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43)38-48-41(44)34-32-30-28-26-24-22-18-16-14-12-10-8-6-4-2/h19-20,23,25,29,31,40H,3-18,21-22,24,26-28,30,32-39,43H2,1-2H3,(H,46,47)/b20-19-,25-23-,31-29-	1566.6	yes
Phosphatidylethanolamine_16:1-20:5	InChI=1S/C41H70NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h7,9,13,15,18-19,22,24,27-30,39H,3-6,8,10-12,14,16-17,20-21,23,25-26,31-38,42H2,1-2H3,(H,45,46)/b9-7-,15-13-,19-18-,24-22-,29-27-,30-28-	582.0	yes
Phosphatidylethanolamine_17:1-22:6	InChI=1S/C44H74NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,25,27,30-33,42H,3-4,6,8-10,12,14-16,18,20,23-24,26,28-29,34-41,45H2,1-2H3,(H,48,49)/b7-5-,13-11-,19-17-,22-21-,27-25-,32-30-,33-31-	831.6	yes
Phosphatidylethanolamine_18:0-18:0	InChI=1S/C41H82NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h39H,3-38,42H2,1-2H3,(H,45,46)	2645.4	yes
Phosphatidylethanolamine_18:0-18:2	InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h22,24,28,30,39H,3-21,23,25-27,29,31-38,42H2,1-2H3,(H,45,46)/b24-22-,30-28-	1719.0	yes
Phosphatidylethanolamine_18:0-20:1	InChI=1S/C43H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h30,32,41H,3-29,31,33-40,44H2,1-2H3,(H,47,48)/b32-30-	2544.6	yes
Phosphatidylethanolamine_18:0-22:5	InChI=1S/C45H80NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46)41-51-44(47)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h11,13,17,19,21-22,26,28,32,34,43H,3-10,12,14-16,18,20,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b13-11-,19-17-,22-21-,28-26-,34-32-	1786.2	yes
Phosphatidylethanolamine_18:1-18:2	InChI=1S/C41H76NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h22,24,27-30,39H,3-21,23,25-26,31-38,42H2,1-2H3,(H,45,46)/b24-22-,29-27-,30-28-	1207.8	yes
Phosphatidylethanolamine_18:0-22:6	InChI=1S/C45H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46)41-51-44(47)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,32,34,43H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b7-5-,13-11-,19-17-,22-21-,28-26-,34-32-	1496.4	yes
